customer_unique_id,total_spending,products_number,customers_number
15fbc48df691e0ad51b0cf30d86392a2,1718.0,2,1
314b61600e5228a9dfe7623fd25ba846,1299.0,1,1
58f814af5001d06b0d34d8a836ab18eb,859.0,1,1
f8ea14322aa66955d27b0d049b3dad79,839.0,1,1
2fb4183605995aad1ff94ef572b91a21,831.6,4,1
85e2be50c49cbf58fcc2b12cfbaded03,798.0,2,1
cf535b89614daf41d4d6ec7d3226c5d7,719.88,1,1
b77d9287064d0c8130947b0c84166a76,689.89,1,1
d1085742841cb2fae8916a506086de13,659.99,1,1
f75da962fb4ddac1569e90c21803c455,595.99,1,1
576d7fc1b6143c56e16f9190a52957d4,510.0,1,1
860052aea27ab400cbe474e6956013fc,449.0,1,1
1ccbae0dcd0c452b88a40c54f9d78401,439.0,1,1
ce88d6a35796ddae6e12cc1206efcb38,399.0,1,1
48d1dced151a0925eadb3614f732f220,379.9,1,1
4afcf7ae2181b598259d121795fd628a,370.0,1,1
397d9b4fe1a6f27a7180b14a42dab978,369.0,1,1
995bb1c47d900b47cd32436d8a622593,349.99,1,1
0383aca4e461346b22c75ea54eb548f2,349.99,1,1
bdfe47b4aabb5f74902e1c197e18c549,349.9,1,1
7fbb6d8f1f76288d32ab1a4e74da34c5,349.9,1,1
1c4b42ca9386909cddeb8ae649be0f9e,349.9,1,1
234d6113db7ff4b1a933c65da3d9bf1c,349.9,1,1
1ba713c8258f756279a049018ce01177,347.7,2,1
f65b9cde425984c1041a2b0b1b4f99ad,329.9,1,1
24d2610d6b2605ba1fa5659b57f48205,320.0,1,1
9cdfe712401ae2a44d3056afbc2b77a8,310.9,1,1
008f3d5f45a11059239a5c452cd00006,309.9,1,1
8262788edf806677acaffdbb1709ed3f,299.99,1,1
2e8561bf8b43a8b182c53dfb53fc9a7f,299.8,2,1
d713e6aab2515415431d22053453e1ae,294.9,1,1
8a0793d04e0f4be13434516ee7037104,289.98,2,1
8dca1e6a2d880073f8104b4b0064c105,279.99,1,1
a34dc635486de07782636bdef2afd77a,279.9,1,1
1ebcaa4880a924804df1ea3656e1c623,259.9,1,1
ac679b68f9307ab0c783357fe16eb0fd,259.9,1,1
5a1ca59d931014c3141a150d51a00994,259.9,1,1
5db7f1850c41ddc2a8b0c1699ab35ccc,249.0,1,1
c69e5a82eb301db90128811f6ef51125,239.9,1,1
9b0e2c4e40a458cf215f8f652f64a5ba,239.9,1,1
e1b59a2032b34097d0c1c8d320f40832,229.9,1,1
eb5bdaa9ace81785a5c3526bbd8d759b,225.98,2,1
3ed5e288eb859999092ba5da0c1b3128,224.16,1,1
13cdb9d2530b1193e81f0c447924d2f0,223.9,1,1
e021e698833bdeb89dfef3acb2e91f37,223.9,1,1
c80bc315b52899a6cfc2af82c9200962,223.9,1,1
59d70280e586b9af0a548f9e0fe68cae,209.99,1,1
c237c66fa20c6bb05c90ac56fdd95173,203.37,1,1
0ef86c70dde0066d9348655fc4e95470,199.99,1,1
cee4b4591e7b82254d2c518cc30333a3,199.9,1,1
2e43e031f10de28e557c35ef668f9396,199.32,4,2
040e4df45a02c9d398c233227f207f67,198.0,2,1
648f4c0ea8f7710f2b99375dcb1707ca,192.0,1,1
